scene_index,family_id,scene,primary_object,interactor_object,anchor_objects,first_frame_summary,event_T0,event_T1,event_T2_div_a,event_T2_div_b,event_id_T0,event_id_T1,event_id_T2_div_a,event_id_T2_div_b,event_delta_T0,event_delta_T1,event_delta_T2_div_a,event_delta_T2_div_b
11,apartment_lobby_adult_sofa_sit,an apartment lobby,an adult person,a lobby sofa,a bank of mailboxes; a potted plant,"an adult person on the left third of the frame facing a lobby sofa in the far right distance, with a bank of mailboxes and a potted plant clearly visible in the background","An adult person stands on the apartment lobby floor, facing the sofa.",The adult person walks toward the sofa.,"The adult stays in a deep squat adjusting his shoes, without walking toward the lobby sofa.",The adult person sits down on the sofa.,apartment_lobby_adult_sofa_sit__T0__none,apartment_lobby_adult_sofa_sit__T1__none,apartment_lobby_adult_sofa_sit__T2_div_a__none,apartment_lobby_adult_sofa_sit__T2_div_b__none,none,spatial,state_only,full
12,hotel_lobby_guest_sofa_sit,a hotel lobby,a hotel guest,a lobby sofa,a reception desk; a side table,"a hotel guest on the left third of the frame facing a lobby sofa in the far right distance, with a reception desk and a side table clearly visible in the background","A hotel guest stands on the lobby floor, facing the sofa.",The guest walks toward the sofa.,"The guest crouches beside the open suitcase inspecting its contents, without walking toward the lobby sofa.",The guest sits down on the sofa.,hotel_lobby_guest_sofa_sit__T0__none,hotel_lobby_guest_sofa_sit__T1__none,hotel_lobby_guest_sofa_sit__T2_div_a__none,hotel_lobby_guest_sofa_sit__T2_div_b__none,none,spatial,state_only,full
13,cafe_customer_chair_sit,a cafe interior,a cafe customer,a cafe chair,a cafe table; a counter shelf,"a cafe customer on the left third of the frame facing a cafe chair in the far right distance, with a cafe table and a counter shelf clearly visible in the background","A cafe customer stands on the cafe floor, facing a chair.",The customer walks toward the chair.,"The customer crouches beside her handbag inspecting its contents, without walking toward the cafe chair.",The customer sits down on the chair.,cafe_customer_chair_sit__T0__none,cafe_customer_chair_sit__T1__none,cafe_customer_chair_sit__T2_div_a__none,cafe_customer_chair_sit__T2_div_b__none,none,spatial,state_only,full
14,cafe_customer_table_cup_place,a cafe interior,a cafe customer holding a coffee cup,a cafe table,a cafe chair; a counter shelf,"a cafe customer holding a coffee cup on the left third of the frame facing a cafe table in the far right distance, with a cafe chair and a counter shelf clearly visible in the background","A cafe customer stands on the cafe floor holding a coffee cup, facing a table.",The customer walks toward the table.,"The customer cradles the coffee cup with both hands after sipping, without walking toward the cafe table.",The customer places the coffee cup onto the table.,cafe_customer_table_cup_place__T0__none,cafe_customer_table_cup_place__T1__none,cafe_customer_table_cup_place__T2_div_a__none,cafe_customer_table_cup_place__T2_div_b__none,none,spatial,state_only,full
15,restaurant_waiter_table_tray_place,a restaurant dining area,a waiter carrying a serving tray,a restaurant table,a dining chair; a condiment station,"a waiter carrying a serving tray on the left third of the frame facing a restaurant table in the far right distance, with a dining chair and a condiment station clearly visible in the background","A waiter stands in the dining area carrying a serving tray, facing a table.",The waiter walks toward the restaurant table.,"The waiter readjusts his grip on the serving tray at waist height, without walking toward the restaurant table.",The waiter places the serving tray onto the table.,restaurant_waiter_table_tray_place__T0__none,restaurant_waiter_table_tray_place__T1__none,restaurant_waiter_table_tray_place__T2_div_a__none,restaurant_waiter_table_tray_place__T2_div_b__none,none,spatial,state_only,full
16,supermarket_customer_checkout_basket_place,a supermarket checkout area,a customer carrying a shopping basket,a checkout counter,a queue barrier; a checkout display rack,"a customer carrying a shopping basket on the left third of the frame facing a checkout counter in the far right distance, with a queue barrier and a checkout display rack clearly visible in the background","A customer stands in the checkout area holding a shopping basket, facing the checkout counter.",The customer walks toward the checkout counter.,"The customer rearranges items inside the basket, without walking toward the checkout counter.",The customer places the shopping basket onto the checkout counter.,supermarket_customer_checkout_basket_place__T0__none,supermarket_customer_checkout_basket_place__T1__none,supermarket_customer_checkout_basket_place__T2_div_a__none,supermarket_customer_checkout_basket_place__T2_div_b__none,none,spatial,state_only,full
17,classroom_student_desk_sit,a classroom,a student,a classroom chair at a desk,a whiteboard easel; a bookshelf,"a student on the left third of the frame facing a classroom chair at a desk in the far right distance, with a whiteboard easel and a bookshelf clearly visible in the background","A student stands in the classroom aisle, facing the chair at a classroom desk.",The student walks toward the desk.,"The student crouches writing in the notebook, without walking toward the classroom chair.",The student sits down in the chair at the desk.,classroom_student_desk_sit__T0__none,classroom_student_desk_sit__T1__none,classroom_student_desk_sit__T2_div_a__none,classroom_student_desk_sit__T2_div_b__none,none,spatial,state_only,full
18,library_student_chair_sit,a library reading room,a reader,a reading chair,a reading table; a bookshelf,"a reader on the left third of the frame facing a reading chair in the far right distance, with a reading table and a bookshelf clearly visible in the background","A reader stands in the reading room, facing a reading chair.",The reader walks toward the chair.,"The student sits cross-legged reading the open book, without walking toward the reading chair.",The reader sits down on the reading chair.,library_student_chair_sit__T0__none,library_student_chair_sit__T1__none,library_student_chair_sit__T2_div_a__none,library_student_chair_sit__T2_div_b__none,none,spatial,state_only,full
19,office_lounge_adult_sofa_sit,an office lounge,an office worker,a lounge sofa,a low coffee table; a potted plant,"an office worker on the left third of the frame facing a lounge sofa in the far right distance, with a low coffee table and a potted plant clearly visible in the background","An office worker stands in the lounge, facing the sofa.",The office worker walks toward the sofa.,"The adult kneels tapping and swiping the tablet, without walking toward the lounge sofa.",The office worker sits down on the sofa.,office_lounge_adult_sofa_sit__T0__none,office_lounge_adult_sofa_sit__T1__none,office_lounge_adult_sofa_sit__T2_div_a__none,office_lounge_adult_sofa_sit__T2_div_b__none,none,spatial,state_only,full
20,meeting_room_adult_chair_sit,a meeting room,an office worker,a meeting chair,a meeting table; a presentation screen,"an office worker on the left third of the frame facing a meeting chair in the far right distance, with a meeting table and a presentation screen clearly visible in the background","An office worker stands in the meeting room, facing a meeting chair.",The office worker walks toward the chair.,"The adult kneels flipping through the folder on his thigh, without walking toward the meeting chair.",The office worker sits down on the meeting chair.,meeting_room_adult_chair_sit__T0__none,meeting_room_adult_chair_sit__T1__none,meeting_room_adult_chair_sit__T2_div_a__none,meeting_room_adult_chair_sit__T2_div_b__none,none,spatial,state_only,full
21,hospital_waiting_patient_chair_sit,a hospital waiting area,a patient,a waiting chair,a check-in kiosk; a hand sanitizer stand,"a patient on the left third of the frame facing a waiting chair in the far right distance, with a check-in kiosk and a hand sanitizer stand clearly visible in the background","A patient stands in the waiting area, facing a waiting chair.",The patient walks toward the chair.,"The patient squats reviewing the clipboard, without walking toward the waiting chair.",The patient sits down on the waiting chair.,hospital_waiting_patient_chair_sit__T0__none,hospital_waiting_patient_chair_sit__T1__none,hospital_waiting_patient_chair_sit__T2_div_a__none,hospital_waiting_patient_chair_sit__T2_div_b__none,none,spatial,state_only,full
22,train_platform_passenger_bench_sit,a train platform,a passenger,a transit bench,a ticket machine; a warning sign,"a passenger on the left third of the frame facing a transit bench in the far right distance, with a ticket machine and a warning sign clearly visible in the background","A passenger stands on the platform, facing the transit bench.",The passenger walks toward the bench.,"The passenger crouches beside the backpack rummaging through it, without walking toward the transit bench.",The passenger sits down on the transit bench.,train_platform_passenger_bench_sit__T0__none,train_platform_passenger_bench_sit__T1__none,train_platform_passenger_bench_sit__T2_div_a__none,train_platform_passenger_bench_sit__T2_div_b__none,none,spatial,state_only,full
23,construction_worker_brick_toolbox_place,a construction site,a construction worker carrying a red metal toolbox,a brick stack,a concrete mixer; a white paint bucket,"a construction worker carrying a red metal toolbox on the left third of the frame facing a brick stack in the far right distance, with a concrete mixer and a white paint bucket clearly visible in the background","A construction worker stands on the sandy ground carrying a red metal toolbox, facing a brick stack.",The worker walks toward the brick stack.,"The worker crouches beside the open toolbox inspecting a wrench, without walking toward the brick stack.",The worker places the toolbox down beside the brick stack.,construction_worker_brick_toolbox_place__T0__none,construction_worker_brick_toolbox_place__T1__none,construction_worker_brick_toolbox_place__T2_div_a__none,construction_worker_brick_toolbox_place__T2_div_b__none,none,spatial,state_only,full
24,loading_dock_worker_pallet_box_place,a loading dock,a dock worker carrying a cardboard box,a wooden pallet,a dock door frame; a stack of empty pallets,"a dock worker carrying a cardboard box on the left third of the frame facing a wooden pallet in the far right distance, with a dock door frame and a stack of empty pallets clearly visible in the background","A dock worker stands on the loading dock floor carrying a cardboard box, facing a wooden pallet.",The worker walks toward the pallet.,"The worker readjusts his grip on the cardboard box at chest height, without walking toward the wooden pallet.",The worker places the cardboard box onto the wooden pallet.,loading_dock_worker_pallet_box_place__T0__none,loading_dock_worker_pallet_box_place__T1__none,loading_dock_worker_pallet_box_place__T2_div_a__none,loading_dock_worker_pallet_box_place__T2_div_b__none,none,spatial,state_only,full
25,farmyard_goat_bucket_tip,a farmyard,a goat,a metal water bucket,a wooden fence; a hay bale,"a goat on the left third of the frame facing a metal water bucket in the far right distance, with a wooden fence and a hay bale clearly visible in the background","A goat stands in the farmyard, facing a metal water bucket.",The goat walks toward the bucket.,"The goat chews with small ear flicks in place, without walking toward the water bucket.",The goat bumps the bucket over and water spills onto the dirt ground.,farmyard_goat_bucket_tip__T0__none,farmyard_goat_bucket_tip__T1__none,farmyard_goat_bucket_tip__T2_div_a__none,farmyard_goat_bucket_tip__T2_div_b__none,none,spatial,state_only,full
